Year,MVP
1985,Larry Bird
1986,Larry Bird
1987,Magic Johnson
1988,Michael Jordan
1989,Magic Johnson
1990,Magic Johnson
1991,Michael Jordan
1992,Michael Jordan
1993,Charles Barkley
1994,Hakeem Olajuwon
1995,David Robinson
1996,Michael Jordan
1997,Karl Malone
1998,Michael Jordan
1999,Karl Malone
2000,Shaquille O'Neal
2001,Allen Iverson
2002,Tim Duncan
2003,Tim Duncan
2004,Kevin Garnett
2005,Steve Nash
2006,Steve Nash
2007,Dirk Nowitzki
2008,Kobe Bryant
2009,LeBron James
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
